ObjectID,GlobalID,Date and Start Time,Observer Name,Other Observer Name,Year,Route ID,Route Type,Visit Number,Start Temperature (Celcius),Wind Start,Sky Start,End of Survey. Fill this out before nest searching,Sky End,End Temperature (Celcius),Wind End,Route Notes,CreationDate,Creator,EditDate,Editor,x,y
12,a42da681-dcb1-4ca1-b40f-5aea2ce135c7,5/14/2024 11:41:00 AM,Emily Hughie,,Y3,UT-B27,B,V1,9,1,Clear,21:24,Clear,10,1,,5/15/2024 1:27:45 AM,reggleston,5/15/2024 1:27:45 AM,reggleston,-114.029314736507,41.8897794908624
13,16334b2e-6eb6-46ff-afcc-267d7c08c110,5/15/2024 12:25:00 PM,Will Harrod,,Y3,UT-C06,R,V1,5,2,Clear,09:21,Clear,14,1,Really high diversity at the begining but the birds went silent faster that usual. A lot less activity after 7:30. Some points had NV time,5/15/2024 3:22:32 PM,will.harrod,5/15/2024 3:22:32 PM,will.harrod,-114.005248196762,41.4193684252716
14,06f20009-ad48-4f41-98e9-2cced96890f6,5/15/2024 12:08:00 PM,Thomas Kroot,,Y3,UT-B05,B,V1,5,1,Clear,09:22,Clear,9,1,,5/15/2024 3:29:02 PM,will.harrod,5/15/2024 3:29:02 PM,will.harrod,-113.94103065,41.55093516
15,f53fa06d-5462-4e38-ae8b-ac6f3bf6c3e1,5/15/2024 11:55:00 AM,Rory Eggleston,,Y3,UT-C25,R,V1,5,1,Clear,10:19,Clear,20,1,,5/15/2024 5:30:22 PM,reggleston,5/15/2024 5:30:22 PM,reggleston,-113.933539381357,41.821978823321
16,d8c8f493-f6fa-4675-96f9-0da3920a302f,5/15/2024 12:25:00 PM,Emily Hughie,,Y3,UT-B06,B,V1,5,2,Clear,09:17,Clear,14,2,,5/15/2024 5:54:09 PM,reggleston,5/15/2024 5:54:09 PM,reggleston,-113.941607416384,41.4965712497905
17,05227108-c152-4254-b097-d6a4d8137f95,5/15/2024 12:03:00 PM,Ben Zimmermann,,Y3,UT-C05,R,V1,6,1,Clear,09:26,Clear,12,2,,5/15/2024 9:51:18 PM,will.harrod,5/15/2024 9:51:18 PM,will.harrod,-113.93453904,41.5340916
18,f0a135cf-f471-4aae-9043-92aadd637672,5/16/2024 12:01:00 PM,Thomas Kroot,,Y3,ID-C15,R,V1,7,0,Clear,09:03,Partly Cloudy,9,1,,5/16/2024 3:03:53 PM,will.harrod,5/16/2024 3:03:53 PM,will.harrod,-113.88289281,42.12975724
19,6b31e09b-54ef-457f-9605-fa3f8f8ee365,5/16/2024 12:12:00 PM,Rory Eggleston,,Y3,ID-C12,R,V1,5,1,Partly Cloudy,09:46,Partly Cloudy,15,1,,5/16/2024 3:47:24 PM,reggleston,5/16/2024 3:47:24 PM,reggleston,-113.877507867398,42.1202825848405
20,4f46fba9-2c69-4239-afb0-69ff9da4c11a,5/16/2024 12:14:00 PM,Emily Hughie,,Y3,ID-B12,R,V1,8,2,Clear,10:19,Partly Cloudy,15,2,,5/16/2024 4:25:07 PM,reggleston,5/16/2024 4:25:07 PM,reggleston,-113.874115158949,42.1080453121319
21,97e6e543-e975-4f3a-8904-f2026d262d30,5/17/2024 12:25:00 PM,Rory Eggleston,,Y3,ID-C22,R,V1,6,1,Partly Cloudy,09:21,Clear,17,2,,5/17/2024 3:22:24 PM,reggleston,5/17/2024 3:22:24 PM,reggleston,-112.945283157856,42.0977063477431
22,f965a7ed-f6e5-4ac4-bd7a-79b5c9a667bc,5/17/2024 12:39:00 PM,Thomas Kroot,,Y3,UT-B19,B,V1,9,2,Clear,10:05,Clear,10,3,,5/17/2024 4:24:48 PM,will.harrod,5/17/2024 4:24:48 PM,will.harrod,-113.68116822,41.97989109
23,60a49d85-188d-4b2d-b56c-59aef51d9125,5/17/2024 12:04:00 PM,Holden Jackovich,,Y3,UT-C19,R,V1,50,0,Clear,09:22,Clear,50,2,,5/17/2024 5:32:26 PM,will.harrod,5/17/2024 5:32:26 PM,will.harrod,-113.610708068506,41.9594859978184
24,f94617e6-3399-4146-a648-887bbe1456e9,5/17/2024 11:50:00 AM,Emily Hughie,,Y3,UT-C27,R,V1,8,1,Clear,09:10,Clear,15,2,,5/17/2024 5:32:31 PM,reggleston,5/17/2024 5:32:31 PM,reggleston,-114.00694030009,41.9449156110064
25,55b4293c-6b32-411a-aa48-62a817f3c85f,5/17/2024 11:58:00 AM,Will Harrod,,Y3,UT-C16,R,V1,6,2,Clear,10:11,Clear,12,3,Some times may be an hour off,5/18/2024 12:54:46 PM,will.harrod,5/18/2024 12:54:46 PM,will.harrod,-113.963630832838,41.9137575198357
26,9b9d2355-349a-4156-bbb8-7537fe1aaeea,5/20/2024 12:29:00 PM,Will Harrod,,Y3,ID-C07,R,V1,3,1,Cloudy,09:15,Partly Cloudy,10,1, Lots of sage grouse pellets along the whole route,5/20/2024 3:17:11 PM,will.harrod,5/20/2024 3:17:11 PM,will.harrod,-113.42137869458,42.1451723948514
27,f3f5e0fa-da3a-41cd-ae83-990d91308e0f,5/16/2024 12:19:00 PM,Ben Zimmermann,,Y3,ID-C24,R,V1,8,3,Clear,09:50,Clear,13,3,,5/20/2024 6:02:27 PM,will.harrod,5/20/2024 6:02:27 PM,will.harrod,-113.94552825,41.78836951
28,e91e68f2-47fb-4726-9a47-489b50a732b0,5/20/2024 12:41:00 PM,Ben Zimmermann,,Y3,ID-B07,B,V1,7,0,Cloudy,09:49,Partly Cloudy,10,0,,5/20/2024 6:02:29 PM,will.harrod,5/20/2024 6:02:29 PM,will.harrod,-113.448815,42.11549274
29,1aae3f6f-1d33-463f-b903-1cfb1fe69ffc,5/20/2024 11:56:00 AM,Thomas Kroot,,Y3,UT-B24,B,V1,5,0,Partly Cloudy,09:33,Cloudy,8,2,,5/20/2024 6:32:43 PM,will.harrod,5/20/2024 6:32:43 PM,will.harrod,-114.03526595,41.7954513
30,6bb1ee33-33bb-4d47-963b-56ccd8e0fb9f,5/20/2024 12:42:00 PM,Rory Eggleston,,Y3,UT-B08,B,V1,5,3,Partly Cloudy,10:55,Partly Cloudy,8,3,Wind strong throughout but esp at beginning advend,5/20/2024 6:52:14 PM,reggleston,5/20/2024 6:52:14 PM,reggleston,-114.011725187408,41.7819556547718
31,660063b8-fd49-401e-ac61-31b0e66c7065,5/20/2024 12:27:00 PM,Holden Jackovich,,Y3,ID-C11,R,V1,0,0,Partly Cloudy,10:05,Partly Cloudy,4,1,,5/20/2024 7:07:31 PM,will.harrod,5/20/2024 7:07:31 PM,will.harrod,-113.426014464331,42.1384635207911
32,719a6cc5-12a0-4c9e-9046-6c2d4ec34af7,5/20/2024 12:35:00 PM,Emily Hughie,,Y3,ID-B11,B,V1,4,1,Cloudy,08:28,Cloudy,10,1,Battery pack and phone died after only 9 points were completed. ,5/20/2024 8:30:49 PM,reggleston,5/20/2024 8:30:49 PM,reggleston,-113.438478789479,42.1047781564363
33,711c998d-f255-4f4f-ab14-9bc010ed515d,5/21/2024 12:07:00 PM,Thomas Kroot,,Y3,ID-B03,B,V1,6,1,Clear,09:09,Partly Cloudy,8,1,,5/21/2024 3:09:21 PM,will.harrod,5/21/2024 3:09:21 PM,will.harrod,-113.27789701,42.09620278
34,5e71cea9-4fdb-408d-97de-b2762edfb341,5/21/2024 3:42:00 PM,Rory Eggleston,,Y3,ID-C16,R,V1,8,1,Partly Cloudy,10:20,Partly Cloudy,9,1,,5/21/2024 4:21:16 PM,reggleston,5/21/2024 4:21:16 PM,reggleston,-113.959973652116,42.2297107344036
35,03bfaef2-ea0f-49d9-8448-5fd6872badb1,5/21/2024 12:32:00 PM,Ben Zimmermann,,Y3,ID-B23,B,V1,4,0,Clear,10:16,Partly Cloudy,12,0,,5/21/2024 7:06:53 PM,will.harrod,5/21/2024 7:06:53 PM,will.harrod,-113.15468803,42.0611014
36,65d2f879-d724-450d-851a-3a44362c956a,5/21/2024 12:27:00 PM,Emily Hughie,,Y3,ID-C03,B,V1,5,1,Clear,09:45,Clear,13,1,,5/21/2024 7:26:07 PM,reggleston,5/21/2024 7:26:07 PM,reggleston,-113.23562493808,42.0900407143119
37,7a3f8596-e486-49c1-b4c5-cc4338b915c1,5/21/2024 12:01:00 PM,Rory Eggleston,,Y3,ID-C26,R,V1,1,1,Partly Cloudy,09:10,Clear,8,2,,5/21/2024 7:42:42 PM,reggleston,5/21/2024 7:42:42 PM,reggleston,-113.943147221686,42.2011674475318
38,810bb4d8-50d9-4804-b470-c37545dc2ff2,5/21/2024 11:59:00 AM,Holden Jackovich,,Y3,ID-C16,R,V1,0,1,Clear,08:49,Clear,16,2,Pair of swainsons hawks seen,5/21/2024 7:54:33 PM,will.harrod,5/21/2024 7:54:33 PM,will.harrod,-113.953824924722,42.2255183683656
39,c041d476-2025-423f-bf2d-fd502b7eaaf2,5/21/2024 3:43:00 PM,Holden Jackovich,,Y3,ID-C16,R,V1,6,1,Clear,10:24,Partly Cloudy,7,2,,5/21/2024 7:54:34 PM,will.harrod,5/21/2024 7:54:34 PM,will.harrod,-113.954028822736,42.2298735593499
40,ab1418ba-4406-452e-be9f-3e98178a3ad4,5/22/2024 12:16:00 PM,Rory Eggleston,,Y3,ID-C28,R,V1,6,1,Cloudy,10:16,Cloudy,7,3,,5/22/2024 4:16:22 PM,reggleston,5/22/2024 4:16:22 PM,reggleston,-113.76074954878,42.0891293557753
41,c9a26aac-dfef-429a-8c42-74336f2dd472,5/22/2024 12:20:00 PM,Thomas Kroot,,Y3,ID-B15,B,V1,5,0,Partly Cloudy,10:15,Partly Cloudy,9,1,,5/22/2024 5:22:43 PM,will.harrod,5/22/2024 5:22:43 PM,will.harrod,-113.90055998,42.05626451
42,aa2fa56e-64d0-4476-b088-1dd125f21424,5/22/2024 12:09:00 PM,Ben Zimmermann,,Y3,ID-B28,B,V1,7,2,Cloudy,09:22,Partly Cloudy,11,3,,5/22/2024 5:32:21 PM,will.harrod,5/22/2024 5:32:21 PM,will.harrod,-113.74484865,42.01446651
43,0ffe87b1-8363-440f-97c7-30f18c3ff2c6,5/23/2024 11:51:00 AM,Thomas Kroot,,Y3,ID-B24,B,V1,6,2,Clear,08:41,Cloudy,8,1,Wind picked up on several occassions,5/23/2024 2:41:37 PM,will.harrod,5/23/2024 2:41:37 PM,will.harrod,-112.9990037,42.05741221
44,aa48488b-a566-4028-a1ce-172b32e21048,5/24/2024 11:42:00 AM,Thomas Kroot,,Y3,UT-C22,R,V1,3,0,Clear,08:01,Clear,8,1,,5/24/2024 2:01:48 PM,will.harrod,5/24/2024 2:01:48 PM,will.harrod,-113.909283,41.69349357
45,3e5070e4-1d71-447d-a18d-9917e1114b70,5/21/2024 12:13:00 PM,Will Harrod,,Y3,ID-C23,R,V1,0,1,Clear,09:52,Clear,8,2,,5/24/2024 2:26:42 PM,will.harrod,5/24/2024 2:26:42 PM,will.harrod,-113.149912739278,42.0500895940159
46,f96dbd89-be3b-49c7-b79e-89a27b22f6d5,5/22/2024 12:25:00 PM,Will Harrod,,Y3,ID-B09,B,V1,7,1,Cloudy,08:05,Cloudy,9,3,Holden and I each did eight points. Times may be PDT for sime points,5/24/2024 2:26:44 PM,will.harrod,5/24/2024 2:26:44 PM,will.harrod,-113.92460819018,41.9980189703169
47,6ab155e2-dc31-46b0-983a-61fac063f2a8,5/24/2024 11:35:00 AM,Will Harrod,,Y3,ID-B22,B,V2,-3,2,Clear,08:26,Clear,3,2," No rangefinder, all distances estimated. Birds went really quiet around 6:50 AM.",5/24/2024 2:26:46 PM,will.harrod,5/24/2024 2:26:46 PM,will.harrod,-112.964788415208,42.1011076355493
48,82880e35-4f0e-4894-a498-f91e2d0898e8,5/23/2024 12:00:00 PM,Ben Zimmermann,,Y3,ID-B04,B,V1,1,0,Clear,09:20,Partly Cloudy,11,2,,5/24/2024 5:55:21 PM,will.harrod,5/24/2024 5:55:21 PM,will.harrod,-112.99162556,42.06865583
49,b1f9826b-3543-4ca8-98a8-4c8e3a45720f,5/24/2024 2:32:00 PM,Ben Zimmermann,,Y3,ID-B09,B,V1,5,0,Clear,,Clear,13,0,lots of hills,5/24/2024 5:55:23 PM,will.harrod,5/24/2024 5:55:23 PM,will.harrod,-113.92135021,41.99151621
50,83d4acbf-d789-4e89-bdb8-0d8663bef765,5/24/2024 12:47:00 PM,Ben Zimmermann,,Y3,ID-B09,B,V1,5,0,Clear,09:26,Clear,12,0,,5/24/2024 5:55:23 PM,will.harrod,5/24/2024 5:55:23 PM,will.harrod,-113.92765486,41.99798013
51,8044c89f-b9d1-4801-a624-0d5bc1491c4d,5/23/2024 11:57:00 AM,Emily Hughie,,Y3,ID-C04,R,V1,-1,0,Partly Cloudy,08:55,Cloudy,1,2,,5/25/2024 6:46:46 PM,reggleston,5/25/2024 6:46:46 PM,reggleston,-112.972434697909,42.0596229896078
52,bee2b93b-5722-4595-93ea-2f0c7f31ca64,5/24/2024 1:03:00 PM,Emily Hughie,,Y3,UT-C15,R,V1,0,1,Clear,10:40,Clear,7,2,,5/25/2024 6:46:48 PM,reggleston,5/25/2024 6:46:48 PM,reggleston,-113.970401516809,41.8198832750789
53,248d55d8-0470-47d1-874e-c660ca5ed876,5/22/2024 12:43:00 PM,Holden Jackovich,,Y3,ID-B09,B,V1,10,1,Cloudy,09:16,Cloudy,6,2,,5/26/2024 10:31:42 PM,will.harrod,5/26/2024 10:31:42 PM,will.harrod,-113.927646316694,41.9978790125272
54,48617f4f-0870-4cef-810d-97cdd45d98c3,5/23/2024 11:47:00 AM,Holden Jackovich,,Y3,ID-C24,R,V1,0,0,Partly Cloudy,08:50,Cloudy,10,2,"Gray Partridges were grouse, maybe sharp tailed. Unidentifide owl and hawk also seen",5/26/2024 10:31:44 PM,will.harrod,5/26/2024 10:31:44 PM,will.harrod,-112.986246608303,42.052314654032
55,984b4b23-52c5-440e-89a8-f451b3e61ed2,5/24/2024 11:59:00 AM,Holden Jackovich,,Y3,UT-B22,B,V1,0,0,Clear,08:35,Clear,9,0,,5/26/2024 10:31:45 PM,will.harrod,5/26/2024 10:31:45 PM,will.harrod,-113.94044866796,41.688238349782
56,ef52a611-8c98-45e5-af0c-8fb8fe718826,5/28/2024 12:44:00 PM,Rory Eggleston,,Y3,ID-C21,R,V1,9,0,Partly Cloudy,09:51,Partly Cloudy,21,0,,5/28/2024 3:52:44 PM,reggleston,5/28/2024 3:52:44 PM,reggleston,-112.994623398514,42.018562112974
57,4a25182e-8f48-4957-9632-8bc3bdbcb63e,5/28/2024 12:16:00 PM,Will Harrod,,Y3,UT-C17,R,V1,5,2,Partly Cloudy,08:34,Cloudy,10,3,,5/28/2024 4:22:43 PM,will.harrod,5/28/2024 4:22:43 PM,will.harrod,-113.645572308557,41.8597315019386
58,c5be1f06-e246-46e9-9086-fc764a3049d1,5/28/2024 12:16:00 PM,Emily Hughie,,Y3,UT-C30,R,V1,10,2,Partly Cloudy,09:39,Cloudy,18,2,,5/28/2024 7:25:00 PM,reggleston,5/28/2024 7:25:00 PM,reggleston,-113.914893103823,41.804454217371
59,45ae53b6-0063-49e1-bb40-ed6a79665710,5/29/2024 12:05:00 PM,Rory Eggleston,,Y3,UT-B01,B,V2,11,4,Cloudy,09:17,Partly Cloudy,14,3,Windy throughout but little enough that I still surveyed,5/29/2024 3:18:40 PM,reggleston,5/29/2024 3:18:40 PM,reggleston,-113.719346132235,41.5297252452388
60,f0529be0-4eda-4181-b9d5-e03e474e7c41,5/29/2024 11:34:00 AM,Thomas Kroot,,Y3,UT-B27,B,V2,8,1,Partly Cloudy,07:35,Clear,10,0,,5/29/2024 5:18:35 PM,will.harrod,5/29/2024 5:18:35 PM,will.harrod,-114.02923053,41.88970315
61,01d32388-8fe8-4b97-9a1d-17ee43b3f5c0,5/28/2024 12:00:00 PM,Ben Zimmermann,,Y3,UT-B17,B,V1,12,0,Clear,08:31,Partly Cloudy,18,2,,5/29/2024 8:38:10 PM,will.harrod,5/29/2024 8:38:10 PM,will.harrod,-113.61111892,41.90522643
62,15a7bbde-abfe-4784-a829-70509df2dccf,5/30/2024 11:59:00 AM,Rory Eggleston,,Y3,ID-C13,R,V1,4,0,Clear,09:27,Clear,12,2,,5/30/2024 3:29:04 PM,reggleston,5/30/2024 3:29:04 PM,reggleston,-114.059888776498,42.2039193939811
63,2eb815f6-8d51-4543-8013-d42082fe1fbc,5/29/2024 11:59:00 AM,Holden Jackovich,,Y3,UT-B30,B,V2,7,3,Partly Cloudy,09:05,Partly Cloudy,11,2,,5/31/2024 12:11:59 AM,will.harrod,5/31/2024 12:11:59 AM,will.harrod,-114.007245029617,41.8672839018294
64,88f96261-4275-4ac0-ac36-e6936298f628,5/30/2024 12:19:00 PM,Holden Jackovich,,Y3,ID-B16,R,V1,9,2,Clear,09:43,Clear,16,2,"Couldn’t find a safe route to point 9, it was on the peak of a rocky outcrop with a ten foot rock wall surrounding. I walked around it looking for a way up and couldn’t find one that didn’t require intense vertical climbing that I am incapable of ",5/31/2024 12:12:13 AM,will.harrod,5/31/2024 12:12:13 AM,will.harrod,-113.991440814095,42.2735561198017
65,1e2f6a8d-cddb-4e7f-8ebc-ae7f73764c6c,5/30/2024 11:40:00 AM,Ben Zimmermann,,Y3,ID-C19,R,V1,5,1,Clear,09:13,Clear,11,1,,5/31/2024 4:10:56 PM,will.harrod,5/31/2024 4:10:56 PM,will.harrod,-114.04314946,42.20490413
66,f7805dd2-3811-4ae1-841e-615c0ebac1b1,5/31/2024 12:13:00 PM,Ben Zimmermann,,Y3,UT-C02,R,V2,8,0,Clear,07:59,Clear,14,1,UNBI not on P9 sounded like half a ring neck call. ,5/31/2024 4:10:59 PM,will.harrod,5/31/2024 4:10:59 PM,will.harrod,-113.65724194,41.56244484
67,6bf915a2-44d7-44ff-8349-d0da0f62d55c,5/31/2024 1:12:00 PM,Rory Eggleston,,Y3,ID-B21,B,V2,9,0,Clear,10:16,Clear,17,0,,5/31/2024 4:28:18 PM,reggleston,5/31/2024 4:28:18 PM,reggleston,-113.02796938561,42.02368966972
68,5a04c231-812f-411f-9ff4-dcc1220eae2f,5/30/2024 11:42:00 AM,Will Harrod,,Y1,ID-B26,B,V1,1,1,Clear,08:54,Clear,10,2,Some very dense aspen and have to cross a creek. Not too difficult but very fun,5/31/2024 5:19:18 PM,will.harrod,5/31/2024 5:19:18 PM,will.harrod,-114.06416855,42.21552203
69,2d274256-48ef-46c4-aeec-4eb172948fc1,5/31/2024 12:13:00 PM,Will Harrod,,Y1,UT-B15,B,V2,3,0,Clear,09:22,Clear,11,1,,5/31/2024 5:19:19 PM,will.harrod,5/31/2024 5:19:19 PM,will.harrod,-113.96783845,41.85127557
70,bf99febb-986c-414e-905a-d5dc6b02153f,5/31/2024 12:25:00 PM,Thomas Kroot,,Y3,UT-B25,B,V2,2,0,Clear,23:04,Clear,11,0,,5/31/2024 6:25:33 PM,will.harrod,5/31/2024 6:25:33 PM,will.harrod,-114.00029576,41.84488947
71,c2b7da49-5e8a-4c13-819d-634687fd9c0a,5/31/2024 11:29:00 AM,Holden Jackovich,,Y3,UT-B02,B,V2,9,2,Clear,07:50,Clear,11,1,,6/1/2024 12:46:11 AM,will.harrod,6/1/2024 12:46:11 AM,will.harrod,-113.626496940957,41.5496364562228
72,b45fa971-7174-4cb0-b601-ad0721977641,6/3/2024 11:37:00 AM,Ben Zimmermann,,Y3,UT-B05,B,V2,14,0,Showers,09:26,Cloudy,17,0,,6/3/2024 3:27:07 PM,will.harrod,6/3/2024 3:27:07 PM,will.harrod,-113.95014175,41.55060423
73,d7412dc0-00b4-4c59-b56e-72796155052a,5/30/2024 11:47:00 AM,Emily Hughie,,Y3,ID-B19,B,V1,0,2,Clear,09:10,Clear,7,3,,6/3/2024 3:41:54 PM,reggleston,6/3/2024 3:41:54 PM,reggleston,-114.047632367316,42.2319836507255
74,78b63f92-8008-4147-ae31-0a2ff76b2126,5/31/2024 11:33:00 AM,Emily Hughie,,Y3,UT-B24,B,V2,6,1,Clear,09:18,Clear,15,1,,6/3/2024 3:41:56 PM,reggleston,6/3/2024 3:41:56 PM,reggleston,-114.032265454601,41.7977849088884
75,ff7dead8-cc03-47cb-ae21-bb80025903b6,6/3/2024 12:27:00 PM,Emily Hughie,,Y3,ID-C07,R,V2,11,0,Cloudy,09:28,Drizzle,15,2,,6/3/2024 3:41:57 PM,reggleston,6/3/2024 3:41:57 PM,reggleston,-113.421751224529,42.1518056845314
76,118673bd-fb29-423f-afc7-5edbf3d580ab,6/3/2024 12:15:00 PM,Rory Eggleston,,Y3,ID-C11,R,V2,12,0,Cloudy,09:49,Drizzle,18,1,Drizzle began in earnest on last point,6/3/2024 3:50:11 PM,reggleston,6/3/2024 3:50:11 PM,reggleston,-113.432036619739,42.142759789752
77,aac24330-2a2d-4fc2-8df8-abfccc96bee1,6/3/2024 12:32:00 PM,Holden Jackovich,,Y3,ID-B11,B,V2,12,0,Cloudy,09:38,Drizzle,9,2,,6/4/2024 2:06:47 AM,will.harrod,6/4/2024 2:06:47 AM,will.harrod,-113.447020193668,42.0981526840873
78,42849595-5b69-418b-b94c-6e01ebd3b52e,5/30/2024 11:43:00 AM,Will Harrod,,Y3,ID-B13,B,V1,2,3,Clear,08:34,Clear,5,4, Much windier by the canyon. Birds got very quiet around 645.,6/4/2024 2:45:43 PM,will.harrod,6/4/2024 2:45:43 PM,will.harrod,-114.130503293233,42.1768106008341
79,ed9f0074-97fb-4b23-a5b7-c1f4de2401a1,5/31/2024 12:01:00 PM,Will Harrod,,Y3,UT-B08,B,V2,7,2,Clear,09:24,Clear,12,3,,6/4/2024 2:45:55 PM,will.harrod,6/4/2024 2:45:55 PM,will.harrod,-114.011755026983,41.7819414474459
80,0178ef7f-bdbc-4ad9-8c75-59df4cba7bbc,6/4/2024 11:54:00 AM,Will Harrod,,Y3,ID-B24,B,V2,11,3,Partly Cloudy,07:51,Partly Cloudy,12,4,,6/4/2024 2:46:09 PM,will.harrod,6/4/2024 2:46:09 PM,will.harrod,-112.999081120543,42.0574524891694
81,b6e1b962-afa2-4a7c-a58c-72c2a25ad05c,6/4/2024 11:45:00 AM,Thomas Kroot,,Y3,ID-C22,R,V2,4,2,Clear,08:52,Clear,8,3,,6/4/2024 2:52:39 PM,will.harrod,6/4/2024 2:52:39 PM,will.harrod,-112.94528356,42.09765711
82,d9bd4e8f-4ed9-4683-b211-b96c6ddb3958,6/4/2024 11:43:00 AM,Emily Hughie,,Y3,ID-C24,R,V2,9,2,Partly Cloudy,08:37,Partly Cloudy,13,2,,6/4/2024 3:02:37 PM,reggleston,6/4/2024 3:02:37 PM,reggleston,-112.977325611619,42.0525450552716
83,fa739543-876d-486e-9b4c-92a4ac89b662,6/4/2024 12:02:00 PM,Rory Eggleston,,Y3,ID-B22,B,V2,12,1,Partly Cloudy,09:13,Partly Cloudy,14,2,,6/4/2024 3:13:58 PM,reggleston,6/4/2024 3:13:58 PM,reggleston,-112.967725619779,42.1010326221977
84,ad73623b-d38b-4268-93bb-80ed40e8f866,6/4/2024 12:05:00 PM,Ben Zimmermann,,Y3,ID-B04,B,V2,9,0,Clear,08:49,Clear,13,2,,6/4/2024 6:19:12 PM,will.harrod,6/4/2024 6:19:12 PM,will.harrod,-113.00050343,42.06849972
85,c6250785-438b-434b-966d-ce1535da6059,6/5/2024 11:43:00 AM,Will Harrod,,Y3,ID-C15,R,V2,12,2,Clear,08:48,Clear,20,2,,6/5/2024 2:48:25 PM,will.harrod,6/5/2024 2:48:25 PM,will.harrod,-113.882846695585,42.1344700582777
86,9eccfca4-46d6-4195-b2c7-d7311cb4b96b,6/5/2024 11:49:00 AM,Thomas Kroot,,Y3,ID-C12,R,V2,6,1,Clear,09:11,Clear,12,1,,6/5/2024 3:13:32 PM,will.harrod,6/5/2024 3:13:32 PM,will.harrod,-113.87451559,42.12035844
87,124655a2-e038-4977-bc01-15d105a66fc2,6/5/2024 12:01:00 PM,Ben Zimmermann,,Y3,ID-B12,B,V2,7,1,Clear,09:49,Clear,17,0,,6/5/2024 3:50:39 PM,will.harrod,6/5/2024 3:50:39 PM,will.harrod,-113.87678932,42.10808366
