ObjectID,GlobalID,Date and Start Time,Observer Name,Other Observer Name,Transect ID,Visit Number,Start Temperature (Celcius),Wind Start,Sky Start,Sky End,End Temperature (Celcius),Wind End,Route Notes,CreationDate,Creator,EditDate,Editor,Track ID,End of Survey,Route ID,Route Type,Year,x,y
38,1d8b8b10-a8d9-47f7-b702-cb4ac4d40230,5/31/2023 12:12:00 PM,will_harrod,,,1,9,2,0,0,19,2,,5/31/2023 3:01:39 PM,will.harrod,5/31/2023 3:01:39 PM,will.harrod,ID-C04 V1 2023,09:01,ID-C04,r,y2,-112.972322387577,42.059507506635
39,86b744e3-2564-4c15-81dd-cc9eeecc26cc,5/31/2023 11:52:00 AM,trey_mccuen,,,1,11,1,0,0,18,2,,5/31/2023 3:09:43 PM,will.harrod,5/31/2023 3:09:43 PM,will.harrod,ID-B21 V1 2023,09:08,ID-B21,b,y2,-113.028059480817,42.0258881897126
40,dd9d3ea0-5f61-4d6c-951e-4c80b59e9e25,5/31/2023 12:02:00 PM,thea_mills,,,1,11,1,1,0,18,2,wind loud sometimes couldn’t hear well,5/31/2023 3:32:00 PM,will.harrod,5/31/2023 3:32:00 PM,will.harrod,,09:30,ID-B24,b,y2,-112.998934546591,42.0573529322094
41,582900e2-4f2b-4bbb-b824-7ecb05d93c3e,5/26/2023 12:02:00 PM,devon_erwin,,,1,9,1,0,0,13,2,,6/1/2023 6:48:56 PM,will.harrod,6/1/2023 6:48:56 PM,will.harrod,UT-B22 V1 2023,08:50,UT-B22,b,y2,-113.93559592,41.69347669
42,46456722-ea18-41b7-b4ee-f56a159dd06c,5/30/2023 12:46:00 PM,devon_erwin,,,1,125,0,1,1,18,1,,6/1/2023 6:48:58 PM,will.harrod,6/1/2023 6:48:58 PM,will.harrod,ID-C03 V1 2023,10:28,ID-C03,r,y2,-113.22745956,42.09324023
43,c237c3ec-35ff-4185-a1b9-2c78c90ea779,5/31/2023 11:58:00 AM,devon_erwin,,,1,10,1,1,1,17,2,P16/12 near entirely salt brush. P1 is in Juniper forest.,6/1/2023 6:48:59 PM,will.harrod,6/1/2023 6:48:59 PM,will.harrod,ID-C24 V1 2023,09:48,ID-C24,r,y2,-112.98617374,42.0502019
44,38ddcc95-4b07-4bd5-bedf-8b7b2678063d,6/1/2023 11:55:00 AM,devon_erwin,,,1,7,2,1,1,14,2,,6/1/2023 6:49:01 PM,will.harrod,6/1/2023 6:49:01 PM,will.harrod,ID~C12 V1 2023,10:10,ID-C12,r,y2,-113.88619035,42.12243326
45,b32c6186-71a5-4bee-8bbc-f398363c843f,6/1/2023 12:13:00 PM,will_harrod,,,1,7,1,0,0,16,1,Same RTHA pair heard from last six points,6/4/2023 11:06:41 PM,will.harrod,6/4/2023 11:06:41 PM,will.harrod,ID-B15 V1 2023,09:22,ID-B15,b,y2,-113.900350892984,42.0540551499283
46,94402117-bf9e-4ee5-a114-c6cb21c54082,6/5/2023 12:21:00 PM,will_harrod,,,1,10,1,0,0,20,1,,6/6/2023 1:17:59 PM,will.harrod,6/6/2023 1:17:59 PM,will.harrod,UT-C15 V1 2023,09:14,UT-C15,r,y2,-113.970717356107,41.8198370634878
47,3dac06fa-b297-4cc4-ae10-f56c3c1c519b,6/6/2023 11:45:00 AM,will_harrod,,,1,11,2,0,0,13,2,Visit 2. Rory and I each surveyed galf the points,6/6/2023 1:18:01 PM,will.harrod,6/6/2023 1:18:01 PM,will.harrod,UT-C19 V2 2023,07:08,UT-C19,r,y2,-113.613744193758,41.9593249200127
48,66dcdbaa-0735-4317-915a-31e44328e98c,6/6/2023 12:38:00 PM,trey_mccuen,,,1,12,1,0,0,18,0,,6/6/2023 3:21:57 PM,will.harrod,6/6/2023 3:21:57 PM,will.harrod,ID-C11 V1 2023,09:19,ID-C11,r,y2,-113.426101980837,42.142872065345
49,09e19050-d202-4c4e-82aa-b6ffcb4d6a1f,6/2/2023 12:37:00 PM,devon_erwin,,,1,9,3,1,1,17,3,"High winds along top of hills, some unknown birds at higher elevation with trees. Acess is easier from reservoir road.",6/6/2023 3:53:45 PM,will.harrod,6/6/2023 3:53:45 PM,will.harrod,UT-C08 V1 2023,11:00,UT-C08,r,y2,-113.97116429,41.78499713
50,faddd91e-79b8-4b67-af49-0d78901f9fb6,6/6/2023 11:30:00 AM,devon_erwin,,,1,12,1,0,1,20,2,,6/6/2023 3:53:47 PM,will.harrod,6/6/2023 3:53:47 PM,will.harrod,Ut-C30 V2 2023,09:12,UT-C30,r,y2,-113.91422601,41.80888763
51,44d153b3-8423-4366-a897-a2a4e4b95f13,5/31/2023 11:43:00 AM,andrew_zilka,,,1,12,1,1,1,20,1,,6/6/2023 9:33:14 PM,will.harrod,6/6/2023 9:33:14 PM,will.harrod,ID-C21 V1 2023,09:02,ID-C21,r,y2,-112.994870506808,42.0252307467266
52,a00d112f-9b2a-43d7-808a-cb2bd16da665,6/1/2023 12:18:00 PM,andrew_zilka,,,1,18,0,1,1,18,0,,6/6/2023 9:33:16 PM,will.harrod,6/6/2023 9:33:16 PM,will.harrod,ID-B12 V1 2023,06:57,ID-B12,b,y2,-113.86787783857,42.1081485688476
53,a85a0c52-f5ff-4761-920d-1377b5f4839a,6/2/2023 12:45:00 PM,andrew_zilka,,,1,15,0,1,1,19,1,,6/6/2023 9:33:16 PM,will.harrod,6/6/2023 9:33:16 PM,will.harrod,UT-B17 V1 2023,09:15,UT-C17,r,y2,-113.616422678176,41.8907263652406
54,72e01426-52a6-4562-bc99-fb0a8ae02465,6/5/2023 12:09:00 PM,andrew_zilka,,,1,14,0,0,0,20,0,,6/6/2023 9:33:17 PM,will.harrod,6/6/2023 9:33:17 PM,will.harrod,UT-C25 V1 2023,09:28,UT-C25,r,y2,-113.931526100696,41.8231243316307
55,2bda2336-0390-4b03-b1ea-b56fc235258e,6/6/2023 12:47:00 PM,andrew_zilka,,,1,18,1,1,1,19,1,,6/6/2023 9:33:18 PM,will.harrod,6/6/2023 9:33:18 PM,will.harrod,ID-B11 V2 2023,09:50,ID-B11,b,y2,-113.438443448522,42.1048177616197
56,ec0d76c1-68e2-4c3b-b428-541ea54b02a7,6/1/2023 12:01:00 PM,rory_eggleston,,,1,5,0,1,1,12,1,,6/6/2023 10:08:52 PM,will.harrod,6/6/2023 10:08:52 PM,will.harrod,ID-C28 V1 2023,10:02,ID-C28,r,y2,-113.76075450765,42.0891684211497
57,62186dee-3c2b-4a7e-a4dd-8957b5553b71,6/2/2023 11:53:00 AM,rory_eggleston,,,1,6,0,1,1,10,0,,6/6/2023 10:08:53 PM,will.harrod,6/6/2023 10:08:53 PM,will.harrod,UT-B17 V1 2023,08:16,UT-B17,b,y2,-113.611093982485,41.9052148978102
58,63d9aa35-f569-4caf-bfcc-b77e170ba00f,6/6/2023 11:42:00 AM,rory_eggleston,,,1,7,0,0,1,10,0,,6/6/2023 10:08:54 PM,will.harrod,6/6/2023 10:08:54 PM,will.harrod,UT-C19 V2 RE 2023,07:13,UT-C19,r,y2,-113.616799326758,41.9592715994598
59,a13d93cf-47c5-469b-91f9-dc7c05109bc7,6/1/2023 12:28:00 PM,thea_mills,,,1,15,1,1,1,17,2,"range finder outnof battery, all distances estimates ",6/6/2023 10:12:13 PM,will.harrod,6/6/2023 10:12:13 PM,will.harrod,,10:36,ID-C15,r,y2,-113.882682686778,42.1299516549726
60,29fc67e4-918c-47d8-a03e-e1c44a23d6d8,6/5/2023 12:39:00 PM,thea_mills,,,1,15,1,0,0,19,1,hilly ,6/6/2023 10:12:15 PM,will.harrod,6/6/2023 10:12:15 PM,will.harrod,,11:52,UT-C06,r,y2,-114.005283359544,41.4170255279554
61,30f86ec5-df96-4642-8d79-664a9808b063,6/6/2023 12:44:00 PM,thea_mills,,,1,15,1,1,1,17,1,"still no range finder, all distances estimates. also had killer headache during this point",6/6/2023 10:12:15 PM,will.harrod,6/6/2023 10:12:15 PM,will.harrod,,09:17,ID-C07,r,y2,-113.421368954325,42.145245979635
62,5756341e-edce-4153-ba32-fe6528bd86d5,6/7/2023 12:04:00 PM,trey_mccuen,,,1,11,1,1,2,16,2,,6/7/2023 4:01:04 PM,will.harrod,6/7/2023 4:01:04 PM,will.harrod,ID-C19 V1 2023,10:00,ID-C19,r,y2,-114.034177069398,42.2046750112994
63,fdf36017-d1f2-485c-84c5-52e7de46dcc6,6/8/2023 11:55:00 AM,trey_mccuen,,,2,13,1,1,0,21,2,,6/8/2023 4:33:42 PM,will.harrod,6/8/2023 4:33:42 PM,will.harrod,UT- B05 V2 2023,10:32,UT-B05,b,y2,-113.950162539365,41.5506355790808
64,72c89d2c-75ba-4721-8fc3-d60651bae86d,6/7/2023 12:12:00 PM,will_harrod,,,1,13,2,1,1,18,2,,6/8/2023 8:02:35 PM,will.harrod,6/8/2023 8:02:35 PM,will.harrod,ID-C26 V1 2023,09:02,ID-C26,r,y2,-113.949486390526,42.2074975273538
65,ca46e24c-d29d-4a35-870c-e487131e3502,6/8/2023 11:38:00 AM,will_harrod,,,1,11,1,1,0,21,1, Very quiet route. Most birds on the song a few times.,6/8/2023 8:02:37 PM,will.harrod,6/8/2023 8:02:37 PM,will.harrod,ID-B23 V1 2023,08:56,ID-B23,b,y2,-113.151719778366,42.0611733716607
66,59b453be-3af0-4142-a244-002769f16543,6/7/2023 11:51:00 AM,devon_erwin,,,1,8,1,1,2,12,1,Forgot binoculars so there is less visual ID. Range finder died at 14th point where survey ends.,6/9/2023 12:57:11 AM,will.harrod,6/9/2023 12:57:11 AM,will.harrod,ID-C13 V1 2023,,ID-C13,r,y2,-114.05913741,42.20642035
67,76d9e424-41ef-4ae0-bd8c-82b8890245fe,6/8/2023 12:10:00 PM,devon_erwin,,,1,15,1,1,0,18,1,"Close to highway, significant noise pollution.",6/9/2023 12:57:13 AM,will.harrod,6/9/2023 12:57:13 AM,will.harrod,,09:33,ID-C22,r,y2,-112.94648006,42.0967993
68,c2f409e1-7dee-4dcf-b1bf-008c9586b1ee,6/9/2023 11:49:00 AM,devon_erwin,,,2,7,1,0,1,1,2,,6/9/2023 6:09:11 PM,will.harrod,6/9/2023 6:09:11 PM,will.harrod,,10:06,UT-B30,b,y2,-114.00521632,41.86846771
69,40809b74-6e81-45b9-81e4-524b32449cd2,6/7/2023 12:04:00 PM,andrew_zilka,,,1,18,0,1,1,20,0,,6/11/2023 6:26:55 PM,will.harrod,6/11/2023 6:26:55 PM,will.harrod,ID-B16 V1 2023,09:19,ID-B16,b,y2,-113.991336835877,42.2713522181979
70,24e11210-4ff5-4205-ac0c-727d89510c7d,6/8/2023 11:56:00 AM,andrew_zilka,,,1,13,0,2,1,18,0,,6/11/2023 6:26:57 PM,will.harrod,6/11/2023 6:26:57 PM,will.harrod,ID-C16 V1 2023,08:52,ID-C16,r,y2,-113.954148346754,42.2320907844901
71,06d8e6b6-b379-4027-b320-2d0b55444694,6/9/2023 12:06:00 PM,andrew_zilka,,,2,13,0,1,4,17,1,,6/11/2023 6:26:58 PM,will.harrod,6/11/2023 6:26:58 PM,will.harrod,UT-B24 V2 2023,10:24,UT-B25,b,y2,-113.99739282666,41.8425130026373
72,c69e8666-6a7e-48e4-a3ef-d95f8cd9cc38,6/7/2023 12:21:00 PM,rory_eggleston,,,1,6,0,1,1,11,1,,6/11/2023 6:27:13 PM,will.harrod,6/11/2023 6:27:13 PM,will.harrod,ID-B13 V1 2023,09:13,ID-B13,b,y2,-114.130505969762,42.1768264241887
73,871889d6-e558-4dfb-81ea-8c67a4f0b2a6,6/7/2023 12:22:00 PM,thea_mills,,,1,13,1,1,1,18,1,points 16-13 are freaking ass to get to. so much aspen bush wacking ,6/11/2023 6:31:55 PM,will.harrod,6/11/2023 6:31:55 PM,will.harrod,,09:27,ID-B26,b,y2,-114.063721129164,42.2222776127881
74,6b9bdf52-ab0f-4279-a9e0-990ccdd4a4f8,6/8/2023 12:10:00 PM,thea_mills,,,2,15,2,1,1,19,2,,6/11/2023 6:31:57 PM,will.harrod,6/11/2023 6:31:57 PM,will.harrod,,,ID-B04,b,y2,-112.991458353074,42.0687034097667
75,cec79650-119f-4905-9693-bde5fd7f6508,6/9/2023 11:58:00 AM,thea_mills,,,2,14,0,1,4,15,3,stopped at 15 points due to weather ,6/11/2023 6:31:58 PM,will.harrod,6/11/2023 6:31:58 PM,will.harrod,,,UT-B15,b,y2,-113.967354377318,41.8468873194857
76,eac7bdea-de2d-4a7f-9e5b-0310778b6251,6/9/2023 12:37:00 PM,will_harrod,,,2,7,1,1,6,18,2, Two technicians from the BLM accompanied me for the first five points. We move  more slowly and chatted. A good bit. I wasn’t able to reach points 12 and 16  due to rain,6/11/2023 6:34:49 PM,will.harrod,6/11/2023 6:34:49 PM,will.harrod,UT-B16 V2 2023,10:33,UT-B16,b,y2,-113.985003204966,41.8637540791621
77,f8c179e4-1933-4adf-b19f-fb6da1378918,6/12/2023 11:42:00 AM,anna_mumford,,,2,9,1,1,0,13,1,,6/12/2023 3:20:31 PM,will.harrod,6/12/2023 3:20:31 PM,will.harrod,ID-C12 2023,08:54,ID-C12,r,y2,-113.86852685,42.12042482
78,bb3a8bd6-8451-4664-a328-72e2c2a378db,6/12/2023 11:50:00 AM,will_harrod,,,1,8,1,0,0,20,1,,6/12/2023 5:44:46 PM,will.harrod,6/12/2023 5:44:46 PM,will.harrod,ID-B12 V2 2023,09:09,ID-B12,b,y2,-113.867865234474,42.1082650337548
79,8ec020cc-4dca-46a0-968d-fd6f5cfd7cdb,6/12/2023 12:30:00 PM,thea_mills,,,2,13,1,1,0,16,1,lots of stupid squirrels ,6/12/2023 8:01:46 PM,will.harrod,6/12/2023 8:01:46 PM,will.harrod,,09:25,UT-B17,b,y2,-113.616594476731,41.8908133590986
80,f1be2102-dc05-4f4b-bbf5-bd0517ce049d,6/12/2023 12:22:00 PM,devon_erwin,,,2,10,1,0,0,14,1,Loud insects and large number of ravens in the area.,6/13/2023 4:32:33 PM,will.harrod,6/13/2023 4:32:33 PM,will.harrod,,08:57,ID-C22,r,y2,-113.90986516,41.69577958
81,9f30e75e-706c-4b11-bcc1-810fb6a3b2fe,5/29/2023 12:14:00 PM,thea_mills,,,1,13,2,1,1,20,1,,6/13/2023 4:33:09 PM,will.harrod,6/13/2023 4:33:09 PM,will.harrod,,10:58,UT-B19,b,y2,-113.69341059152,41.9787596026881
82,88f5c2c9-76d8-463c-8866-87ecd28b0795,6/12/2023 11:40:00 AM,andrew_zilka,,,2,12,0,1,0,15,0,,6/13/2023 9:14:15 PM,will.harrod,6/13/2023 9:14:15 PM,will.harrod,ID-C15 V2 2023,08:57,ID-C15,r,y2,-113.882838830981,42.1367291875533
83,79ffea89-0659-4697-8697-dfdecf3d4bad,6/5/2023 12:36:00 PM,keramie_hamby,,,2,9,0,0,0,19,0,,6/13/2023 9:56:11 PM,will.harrod,6/13/2023 9:56:11 PM,will.harrod,UT-B06 V2 2023,10:31,UT-B06,b,y2,-113.87793418696,41.7130116055298
84,7166fb35-0076-4bd0-b4ea-7ef17946641b,6/14/2023 12:19:00 PM,trey_mccuen,,,2,14,2,2,1,18,3,,6/14/2023 2:39:44 PM,will.harrod,6/14/2023 2:39:44 PM,will.harrod,UT- B02 V2 2023,08:37,UT-B02,b,y2,-113.626193857292,41.5473591558688
85,0e21218b-6ac6-413d-a0a4-4e7aa876c54a,6/14/2023 11:51:00 AM,anna_mumford,,,2,12,2,2,1,15,3,,6/14/2023 4:33:50 PM,will.harrod,6/14/2023 4:33:50 PM,will.harrod,UT-B19 V2 2023,,UT-B19,b,y2,-113.69016429,41.98323955
86,17eccb5e-5d33-4510-9529-59f9d43fc883,6/14/2023 11:48:00 AM,thea_mills,,,2,14,1,1,2,14,1,stupid squirrels ,6/14/2023 5:41:08 PM,will.harrod,6/14/2023 5:41:08 PM,will.harrod,,10:47,UT-B24,b,y2,-114.032212481509,41.7953483342735
87,ba27e205-3bd7-43f0-a0ff-43727a586ba1,6/14/2023 12:22:00 PM,rory_eggleston,,,2,11,3,1,1,15,4,,6/14/2023 6:07:18 PM,will.harrod,6/14/2023 6:07:18 PM,will.harrod,UT-C01 V2 2023,21:10,UT-C01,r,y2,-113.718605839037,41.5770601815048
88,01792bf8-679e-4129-bb08-fe43be1088a4,6/14/2023 12:10:00 PM,will_harrod,,,2,107,1,1,1,12,3, Some of the most cheap grass I’ve ever seen about 7000 feet. All west facing slopes were completely covered,6/15/2023 2:29:40 PM,will.harrod,6/15/2023 2:29:40 PM,will.harrod,UF-B08 V2 2023,09:22,UT-B08,b,y2,-114.011696220113,41.7819626100297
89,24c9c03e-f64f-4a99-97df-83209a37550a,6/15/2023 11:32:00 AM,will_harrod,,,2,6,3,0,0,11,1,,6/15/2023 2:30:05 PM,will.harrod,6/15/2023 2:30:05 PM,will.harrod,ID-B07 V2 2023,08:15,ID-B07,b,y2,-113.446000990731,42.1176522338718
90,da26db0b-13fb-41fe-bd8f-2f5d9bd0859f,6/15/2023 12:07:00 PM,trey_mccuen,,,2,9,1,1,0,12,2,,6/15/2023 7:39:43 PM,will.harrod,6/15/2023 7:39:43 PM,will.harrod,ID-C03 V2 2023,09:21,ID-C03,r,y2,-113.226706981764,42.091927402692
91,25950fde-28f6-4dc3-9c6f-9b980a955196,6/15/2023 11:48:00 AM,anna_mumford,,,2,9,2,0,0,13,3,,6/15/2023 11:41:32 PM,will.harrod,6/15/2023 11:41:32 PM,will.harrod,ID-B23 V2 2023,09:16,ID-B23,b,y2,-113.15472693,42.06117586
92,eb331f60-92c9-4f1a-91f4-66cdd5a548ac,6/14/2023 11:59:00 AM,devon_erwin,,,2,12,0,2,1,14,3,Inconsistent wind changes. Sage Brush Sparrows present.,6/16/2023 12:16:41 AM,will.harrod,6/16/2023 12:16:41 AM,will.harrod,,08:31,UT-C02,r,y2,-113.66028534,41.56229458
93,e6742be0-67b8-4388-8dff-48b035387c7c,6/15/2023 12:12:00 PM,devon_erwin,,,2,6,1,1,0,14,4,Winds increased steadily from the halfway point in the survey. By the last three points it was exceeding 20mph and impossible to hear well.,6/16/2023 12:16:42 AM,will.harrod,6/16/2023 12:16:42 AM,will.harrod,,09:48,ID-B03,b,y2,-113.26905987,42.09591976
94,2fce6d17-0830-45f9-bc27-bcbe47ffaa8e,6/16/2023 12:07:00 PM,will_harrod,,,2,8,2,0,0,17,3,,6/16/2023 3:20:24 PM,will.harrod,6/16/2023 3:20:24 PM,will.harrod,UT-C25 V2 2023,09:20,UT-C25,r,y2,-113.933466723759,41.8218321554125
95,c92091e0-b66f-4224-92a6-cd3cbe2c2540,6/16/2023 11:50:00 AM,trey_mccuen,,,2,0,0,0,0,14,3,,6/19/2023 3:16:08 AM,will.harrod,6/19/2023 3:16:08 AM,will.harrod,UT-C19 V2 2023,08:05,UT-C16,r,y2,-113.966779345241,41.9138115425209
96,13b792db-4fe3-4867-a347-234309ed01fc,5/25/2023 11:42:00 AM,keramie_hamby,,,1,5,0,1,2,14,1,,6/19/2023 10:00:12 AM,will.harrod,6/19/2023 10:00:12 AM,will.harrod,UT-B15 V1 2023,10:51,UT-B15,b,y2,-113.967222220906,41.8468449665408
97,f0b0e81e-ba8a-4deb-8129-5d586f45fbf1,5/26/2023 12:16:00 PM,keramie_hamby,,,1,44,0,1,1,66,1,,6/19/2023 10:00:14 AM,will.harrod,6/19/2023 10:00:14 AM,will.harrod,UT-C27 V1 2023,10:11,UT-C27,r,y2,-114.007169676204,41.9448618611883
98,73ebf400-577d-44f1-92e8-f2e1123fa604,6/1/2023 12:49:00 PM,keramie_hamby,,,1,4,0,1,2,5,0,,6/19/2023 10:00:15 AM,will.harrod,6/19/2023 10:00:15 AM,will.harrod,ID-B09 V1 2023,10:27,ID-B09,b,y2,-113.921453744397,41.9981930640659
