"","Grid.ID","Grid.Type","Visit.ID","Ord.Date","Year","Observer.ID","Mean.MAS","n.Points","Count","n.Observers","Observer.Year","Observer.Experience","Imputed"
"20","ID-B09","B","Y1-V2",170,"Y1","Ruger",227.25,16,11,1,"Ruger Y1",2,FALSE
"21","ID-B09","B","Y2-V1",151,"Y2","Keramie",218.3125,16,17,1,"Keramie Y2",1,FALSE
"22","ID-B09","B","Y2-V2",173,"Y2","Will",81.8888888888889,9,11,1,"Will Y2",2,FALSE
"23","ID-B09","B","Y3-V1",142,"Y3","Holden",86.5,16,20,2,"Holden Y3",1,FALSE
"24","ID-B09","B","Y3-V2",165,"Y3","Aidan",133.1875,16,13,1,"Aidan Y3",1,FALSE
"25","ID-B11","B","Y1-V1",177,"Y1","Rory",191.125,16,2,1,"Rory Y1",2,FALSE
"26","ID-B11","B","Y1-V2",198,"Y1","Rory",120.625,8,0,1,"Rory Y1",2,FALSE
"27","ID-B11","B","Y2-V1",135,"Y2","Will",144.875,16,0,1,"Will Y2",2,FALSE
"28","ID-B11","B","Y2-V2",156,"Y2","Andrew",166.5,16,0,1,"Andrew Y2",1,FALSE
"29","ID-B11","B","Y3-V1",140,"Y3","Emily",130,8,3,1,"Emily Y3",1,FALSE
"30","ID-B11","B","Y3-V2",154,"Y3","Holden",150.625,16,0,1,"Holden Y3",1,FALSE
"31","ID-B12","B","Y1-V1",173,"Y1","Eliza",286.8,5,1,1,"Eliza Y1",1,FALSE
"32","ID-B12","B","Y1-V2",191,"Y1","Eoin",157.4375,16,2,1,"Eoin Y1",1,FALSE
"33","ID-B12","B","Y2-V1",151,"Y2","Andrew",136.4,15,12,1,"Andrew Y2",1,FALSE
"34","ID-B12","B","Y2-V2",162,"Y2","Will",117.9375,16,7,1,"Will Y2",2,FALSE
"35","ID-B12","B","Y3-V1",136,"Y3","Emily",137.5625,16,0,1,"Emily Y3",1,FALSE
"36","ID-B12","B","Y3-V2",156,"Y3","Ben",132.875,16,8,1,"Ben Y3",1,FALSE
"37","ID-B13","B","Y1-V1",180,"Y1","Ruger",158,16,27,1,"Ruger Y1",2,FALSE
"38","ID-B13","B","Y1-V2",193,"Y1","Rory",280.083333333333,12,10,1,"Rory Y1",2,FALSE
"39","ID-B13","B","Y2-V1",157,"Y2","Rory",129.0625,16,18,1,"Rory Y2",2,FALSE
"40","ID-B13","B","Y2-V2",170,"Y2","Trey",136.625,16,4,1,"Trey Y2",2,FALSE
"41","ID-B13","B","Y3-V1",150,"Y3","Will",138,16,4,1,"Will Y3",2,FALSE
"42","ID-B13","B","Y3-V2",162,"Y3","Rory",145.875,16,44,1,"Rory Y3",2,FALSE
"43","ID-B15","B","Y1-V1",173,"Y1","Eoin",160.625,16,0,1,"Eoin Y1",1,FALSE
"44","ID-B15","B","Y1-V2",191,"Y1","Ruger",133.0625,16,0,1,"Ruger Y1",2,FALSE
"45","ID-B15","B","Y2-V1",151,"Y2","Will",153.3125,16,1,1,"Will Y2",2,FALSE
"46","ID-B15","B","Y2-V2",169,"Y2","Keramie",174.3,10,5,1,"Keramie Y2",1,FALSE
"47","ID-B15","B","Y3-V1",142,"Y3","Thomas",142,16,0,1,"Thomas Y3",1,FALSE
"48","ID-B15","B","Y3-V2",165,"Y3","Holden",120.5,16,1,1,"Holden Y3",1,FALSE
"49","ID-B16","B","Y1-V1",172,"Y1","Ruger",187.25,16,0,1,"Ruger Y1",2,FALSE
"50","ID-B16","B","Y1-V2",189,"Y1","Rory",201.4375,16,2,1,"Rory Y1",2,FALSE
"51","ID-B16","B","Y2-V1",157,"Y2","Andrew",128.125,16,4,1,"Andrew Y2",1,FALSE
"52","ID-B16","B","Y2-V2",170,"Y2","Will",120.5,16,0,1,"Will Y2",2,FALSE
"53","ID-B16","B","Y3-V1",150,"Y3","Holden",172.066666666667,15,7,1,"Holden Y3",1,FALSE
"54","ID-B16","B","Y3-V2",162,"Y3","Ben",168.25,16,6,1,"Ben Y3",1,FALSE
"55","ID-B19","B","Y1-V1",172,"Y1","Austin",191.333333333333,15,8,2,"Austin Y1",1,FALSE
"56","ID-B19","B","Y1-V2",180,"Y1","Eoin",181.25,16,20,1,"Eoin Y1",1,FALSE
"57","ID-B19","B","Y2-V1",157,"Y2","Keramie",199.333333333333,9,7,1,"Keramie Y2",1,FALSE
"58","ID-B19","B","Y2-V2",170,"Y2","Andrew",85.4285714285714,14,15,1,"Andrew Y2",1,FALSE
"59","ID-B19","B","Y3-V1",150,"Y3","Emily",110.4375,16,8,1,"Emily Y3",1,FALSE
"60","ID-B19","B","Y3-V2",162,"Y3","Will",96.8125,16,40,1,"Will Y3",2,FALSE
"61","ID-B21","B","Y1-V1",179,"Y1","Keramie",171.25,16,0,1,"Keramie Y1",1,FALSE
"62","ID-B21","B","Y1-V2",194,"Y1","Austin",174.4375,16,3,1,"Austin Y1",1,FALSE
"63","ID-B21","B","Y2-V1",150,"Y2","Trey",115.625,16,5,1,"Trey Y2",2,FALSE
"64","ID-B21","B","Y2-V2",172,"Y2","Keramie",146.142857142857,14,0,1,"Keramie Y2",1,FALSE
"65","ID-B21","B","Y3-V1",130,"Y3","Ben",156.125,16,3,1,"Ben Y3",1,FALSE
"66","ID-B21","B","Y3-V2",151,"Y3","Rory",186.375,16,1,1,"Rory Y3",2,FALSE
"67","ID-B22","B","Y1-V1",178,"Y1","Rory",169.0625,16,8,1,"Rory Y1",2,FALSE
"68","ID-B22","B","Y1-V2",188,"Y1","Rory",183.3125,16,0,1,"Rory Y1",2,FALSE
"69","ID-B22","B","Y2-V1",147,"Y2","Will",74.75,16,7,1,"Will Y2",2,FALSE
"70","ID-B22","B","Y2-V2",171,"Y2","Andrew",64.7,10,0,1,"Andrew Y2",1,FALSE
"71","ID-B22","B","Y3-V1",144,"Y3","Will",82.625,16,19,1,"Will Y3",2,FALSE
"72","ID-B22","B","Y3-V2",155,"Y3","Rory",131.25,16,19,1,"Rory Y3",2,FALSE
"73","ID-B23","B","Y1-V1",179,"Y1","Rory",248.75,16,13,1,"Rory Y1",2,FALSE
"74","ID-B23","B","Y1-V2",193,"Y1","Eoin",231.75,16,7,1,"Eoin Y1",1,FALSE
"75","ID-B23","B","Y2-V1",158,"Y2","Will",99.3125,16,28,1,"Will Y2",2,FALSE
"76","ID-B23","B","Y2-V2",165,"Y2","Anna",122.6875,16,27,1,"Anna Y2",1,FALSE
"77","ID-B23","B","Y3-V1",141,"Y3","Ben",164.5,16,29,1,"Ben Y3",1,FALSE
"78","ID-B23","B","Y3-V2",158,"Y3","Will",131.4375,16,33,1,"Will Y3",2,FALSE
"79","ID-B24","B","Y1-V1",178,"Y1","Keramie",187.1875,16,2,1,"Keramie Y1",1,FALSE
"80","ID-B24","B","Y1-V2",194,"Y1","Ruger",175,16,3,1,"Ruger Y1",2,FALSE
"81","ID-B24","B","Y2-V1",150,"Y2","Thea",134.9375,16,28,1,"Thea Y2",2,FALSE
"82","ID-B24","B","Y2-V2",172,"Y2","Will",133.375,16,5,1,"Will Y2",2,FALSE
"83","ID-B24","B","Y3-V1",143,"Y3","Thomas",118.8125,16,8,1,"Thomas Y3",1,FALSE
"84","ID-B24","B","Y3-V2",155,"Y3","Will",107.5,16,5,1,"Will Y3",2,FALSE
"85","ID-B26","B","Y1-V1",180,"Y1","Keramie",207.75,16,5,1,"Keramie Y1",1,FALSE
"86","ID-B26","B","Y1-V2",193,"Y1","Austin",173.0625,16,2,1,"Austin Y1",1,FALSE
"87","ID-B26","B","Y2-V1",157,"Y2","Thea",137.090909090909,11,26,1,"Thea Y2",2,FALSE
"88","ID-B26","B","Y2-V2",170,"Y2","Devin",160,16,22,1,"Devin Y2",1,FALSE
"89","ID-B26","B","Y3-V1",150,"Y3","Aidan",113.0625,16,9,1,"Aidan Y3",1,FALSE
"90","ID-B26","B","Y3-V2",162,"Y3","Thomas",96.3125,16,20,1,"Thomas Y3",1,FALSE
"91","ID-B28","B","Y1-V1",177,"Y1","Austin",200.4375,16,15,1,"Austin Y1",1,FALSE
"92","ID-B28","B","Y1-V2",194,"Y1","Eoin",126.25,16,11,1,"Eoin Y1",1,FALSE
"93","ID-B28","B","Y2-V1",148,"Y2","Will",134.0625,16,30,1,"Will Y2",2,FALSE
"94","ID-B28","B","Y2-V2",171,"Y2","Keramie",157.875,8,11,1,"Keramie Y2",1,FALSE
"95","ID-B28","B","Y3-V1",142,"Y3","Ben",123.5625,16,19,1,"Ben Y3",1,FALSE
"96","ID-B28","B","Y3-V2",161,"Y3","Ben",137.75,16,39,1,"Ben Y3",1,FALSE
"97","ID-C03","R","Y1-V1",171,"Y1","Eoin",191.125,16,5,1,"Eoin Y1",1,FALSE
"98","ID-C03","R","Y1-V2",179,"Y1","Austin",153.5,16,7,1,"Austin Y1",1,FALSE
"99","ID-C03","R","Y2-V1",149,"Y2","Devin",190,16,21,1,"Devin Y2",1,FALSE
"100","ID-C03","R","Y2-V2",165,"Y2","Trey",131.4375,16,10,1,"Trey Y2",2,FALSE
"101","ID-C03","R","Y3-V1",141,"Y3","Emily",141.8125,16,29,1,"Emily Y3",1,FALSE
"102","ID-C03","R","Y3-V2",158,"Y3","Holden",128.125,16,24,1,"Holden Y3",1,FALSE
"103","ID-C04","R","Y1-V1",178,"Y1","Austin",150.8125,16,13,1,"Austin Y1",1,FALSE
"104","ID-C04","R","Y1-V2",192,"Y1","Ruger",133,16,23,1,"Ruger Y1",2,FALSE
"105","ID-C04","R","Y2-V1",150,"Y2","Will",120.25,16,48,1,"Will Y2",2,FALSE
"106","ID-C04","R","Y2-V2",171,"Y2","Devin",125.75,16,23,1,"Devin Y2",1,FALSE
"107","ID-C04","R","Y3-V1",143,"Y3","Emily",104.75,16,24,1,"Emily Y3",1,FALSE
"108","ID-C04","R","Y3-V2",155,"Y3","Aidan",88.25,16,34,1,"Aidan Y3",1,FALSE
"109","ID-C07","R","Y1-V1",171,"Y1","Keramie",204.125,16,14,1,"Keramie Y1",1,FALSE
"110","ID-C07","R","Y1-V2",177,"Y1","Eoin",186,16,5,1,"Eoin Y1",1,FALSE
"111","ID-C07","R","Y2-V1",142,"Y2","Rory",138.625,16,43,1,"Rory Y2",2,FALSE
"112","ID-C07","R","Y2-V2",156,"Y2","Thea",146.4,10,21,1,"Thea Y2",2,FALSE
"113","ID-C07","R","Y3-V1",140,"Y3","Will",125.625,16,22,1,"Will Y3",2,FALSE
"114","ID-C07","R","Y3-V2",154,"Y3","Emily",140.1875,16,25,1,"Emily Y3",1,FALSE
"115","ID-C09","R","Y1-V1",163,"Y1","Ruger",203.5625,16,24,1,"Ruger Y1",2,FALSE
"116","ID-C09","R","Y1-V2",170,"Y1","Eliza",194.8125,16,22,1,"Eliza Y1",1,FALSE
"117","ID-C09","R","Y2-V1",169,"Y2","Thea",192.1875,16,40,1,"Thea Y2",2,FALSE
"118","ID-C09","R","Y2-V2",176,"Y2","Rory",150.9375,16,60,2,"Rory Y2",2,FALSE
"119","ID-C09","R","Y3-V1",165,"Y3","Will",108.75,16,32,1,"Will Y3",2,FALSE
"120","ID-C09","R","Y3-V2",175,"Y3","Holden",170.375,16,30,1,"Holden Y3",1,FALSE
"121","ID-C11","R","Y1-V1",196,"Y1","Rory",211.25,16,42,1,"Rory Y1",2,TRUE
"122","ID-C11","R","Y1-V2",196,"Y1","Rory",211.25,16,42,1,"Rory Y1",2,FALSE
"123","ID-C11","R","Y2-V1",142,"Y2","Anna",116.875,16,35,1,"Anna Y2",1,FALSE
"124","ID-C11","R","Y2-V2",156,"Y2","Trey",146.461538461538,13,18,1,"Trey Y2",2,FALSE
"125","ID-C11","R","Y3-V1",140,"Y3","Holden",156.8125,16,13,1,"Holden Y3",1,FALSE
"126","ID-C11","R","Y3-V2",154,"Y3","Rory",150.375,16,41,1,"Rory Y3",2,FALSE
"127","ID-C12","R","Y1-V1",173,"Y1","Ruger",180.625,16,39,1,"Ruger Y1",2,FALSE
"128","ID-C12","R","Y1-V2",191,"Y1","Austin",107.4375,16,17,1,"Austin Y1",1,FALSE
"129","ID-C12","R","Y2-V1",151,"Y2","Devin",159.5625,16,24,1,"Devin Y2",1,FALSE
"130","ID-C12","R","Y2-V2",162,"Y2","Anna",102,16,35,1,"Anna Y2",1,FALSE
"131","ID-C12","R","Y3-V1",136,"Y3","Rory",133.0625,16,69,1,"Rory Y3",2,FALSE
"132","ID-C12","R","Y3-V2",156,"Y3","Thomas",111.625,16,39,1,"Thomas Y3",1,FALSE
"133","ID-C13","R","Y1-V1",180,"Y1","Rory",174.6875,16,42,1,"Rory Y1",2,FALSE
"134","ID-C13","R","Y1-V2",193,"Y1","Keramie",220.1875,16,6,1,"Keramie Y1",1,FALSE
"135","ID-C13","R","Y2-V1",157,"Y2","Devin",129,14,30,1,"Devin Y2",1,FALSE
"136","ID-C13","R","Y2-V2",170,"Y2","Keramie",211,11,20,1,"Keramie Y2",1,FALSE
"137","ID-C13","R","Y3-V1",150,"Y3","Rory",128.4375,16,40,1,"Rory Y3",2,FALSE
"138","ID-C13","R","Y3-V2",162,"Y3","Holden",84.3076923076923,13,26,1,"Holden Y3",1,FALSE
"139","ID-C15","R","Y1-V1",173,"Y1","Austin",224.3125,16,5,1,"Austin Y1",1,FALSE
"140","ID-C15","R","Y1-V2",191,"Y1","Rory",194.5625,16,62,1,"Rory Y1",2,FALSE
"141","ID-C15","R","Y2-V1",151,"Y2","Thea",176.25,16,25,1,"Thea Y2",2,FALSE
"142","ID-C15","R","Y2-V2",162,"Y2","Andrew",102.133333333333,15,26,1,"Andrew Y2",1,FALSE
"143","ID-C15","R","Y3-V1",136,"Y3","Thomas",102.25,16,36,1,"Thomas Y3",1,FALSE
"144","ID-C15","R","Y3-V2",156,"Y3","Will",99.875,16,34,1,"Will Y3",2,FALSE
"145","ID-C16","R","Y1-V1",172,"Y1","Keramie",160.0625,16,5,1,"Keramie Y1",1,FALSE
"146","ID-C16","R","Y1-V2",181,"Y1","Rory",139.1875,16,27,1,"Rory Y1",2,FALSE
"147","ID-C16","R","Y2-V1",158,"Y2","Andrew",98.9375,16,23,1,"Andrew Y2",1,FALSE
"148","ID-C16","R","Y2-V2",170,"Y2","Thea",164.75,16,23,1,"Thea Y2",2,FALSE
"149","ID-C16","R","Y3-V1",141,"Y3","Holden",168.3125,16,13,2,"Holden Y3",1,FALSE
"150","ID-C16","R","Y3-V2",162,"Y3","Emily",93.1875,16,30,1,"Emily Y3",1,FALSE
"151","ID-C19","R","Y1-V1",172,"Y1","Eliza",207.0625,16,18,1,"Eliza Y1",1,FALSE
"152","ID-C19","R","Y1-V2",180,"Y1","Austin",191.5625,16,7,1,"Austin Y1",1,FALSE
"153","ID-C19","R","Y2-V1",157,"Y2","Trey",154.9375,16,21,1,"Trey Y2",2,FALSE
"154","ID-C19","R","Y2-V2",170,"Y2","Anna",120.625,16,33,1,"Anna Y2",1,FALSE
"155","ID-C19","R","Y3-V1",150,"Y3","Ben",104.4375,16,40,1,"Ben Y3",1,FALSE
"156","ID-C19","R","Y3-V2",162,"Y3","Aidan",101.0625,16,29,1,"Aidan Y3",1,FALSE
"157","ID-C21","R","Y1-V1",179,"Y1","Ruger",129.9375,16,19,1,"Ruger Y1",2,FALSE
"158","ID-C21","R","Y1-V2",194,"Y1","Keramie",200.5625,16,4,1,"Keramie Y1",1,FALSE
"159","ID-C21","R","Y2-V1",150,"Y2","Andrew",108.5625,16,24,1,"Andrew Y2",1,FALSE
"160","ID-C21","R","Y2-V2",172,"Y2","Thea",123,16,15,1,"Thea Y2",2,FALSE
"161","ID-C21","R","Y3-V1",148,"Y3","Rory",163,16,36,1,"Rory Y3",2,FALSE
"162","ID-C21","R","Y3-V2",170,"Y3","Will",106.4375,16,17,1,"Will Y3",2,FALSE
"163","ID-C22","R","Y1-V1",187,"Y1","Rory",192.1875,16,59,1,"Rory Y1",2,TRUE
"164","ID-C22","R","Y1-V2",187,"Y1","Rory",192.1875,16,59,1,"Rory Y1",2,FALSE
"165","ID-C22","R","Y2-V1",158,"Y2","Devin",142.125,16,43,1,"Devin Y2",1,FALSE
"166","ID-C22","R","Y2-V2",171,"Y2","Rory",130.875,16,39,1,"Rory Y2",2,FALSE
"167","ID-C22","R","Y3-V1",137,"Y3","Rory",127.6875,16,75,1,"Rory Y3",2,FALSE
"168","ID-C22","R","Y3-V2",155,"Y3","Thomas",107.875,16,41,1,"Thomas Y3",1,FALSE
"169","ID-C23","R","Y1-V1",179,"Y1","Eoin",229.5625,16,13,1,"Eoin Y1",1,FALSE
"170","ID-C23","R","Y1-V2",193,"Y1","Ruger",222.1875,16,22,1,"Ruger Y1",2,FALSE
"171","ID-C23","R","Y2-V1",149,"Y2","Will",110.375,16,34,1,"Will Y2",2,FALSE
"172","ID-C23","R","Y2-V2",165,"Y2","Andrew",92.4666666666667,15,31,1,"Andrew Y2",1,FALSE
"173","ID-C23","R","Y3-V1",141,"Y3","Will",141.25,16,43,1,"Will Y3",2,FALSE
"174","ID-C23","R","Y3-V2",158,"Y3","Emily",144.875,16,29,1,"Emily Y3",1,FALSE
"175","ID-C24","R","Y1-V1",178,"Y1","Eoin",152.75,16,29,1,"Eoin Y1",1,FALSE
"176","ID-C24","R","Y1-V2",197,"Y1","Ruger",151,16,3,1,"Ruger Y1",2,FALSE
"177","ID-C24","R","Y2-V1",150,"Y2","Devin",140.5,16,18,1,"Devin Y2",1,FALSE
"178","ID-C24","R","Y2-V2",172,"Y2","Anna",128.6875,16,20,1,"Anna Y2",1,FALSE
"179","ID-C24","R","Y3-V1",143,"Y3","Holden",103.75,16,25,1,"Holden Y3",1,FALSE
"180","ID-C24","R","Y3-V2",155,"Y3","Emily",93.3125,16,39,1,"Emily Y3",1,FALSE
"181","ID-C26","R","Y1-V1",173,"Y1","Keramie",162.5,16,5,1,"Keramie Y1",1,FALSE
"182","ID-C26","R","Y1-V2",181,"Y1","Austin",135.5625,16,2,1,"Austin Y1",1,FALSE
"183","ID-C26","R","Y2-V1",157,"Y2","Will",124.375,16,35,1,"Will Y2",2,FALSE
"184","ID-C26","R","Y2-V2",170,"Y2","Rory",122.3125,16,60,1,"Rory Y2",2,FALSE
"185","ID-C26","R","Y3-V1",141,"Y3","Rory",110.0625,16,36,1,"Rory Y3",2,FALSE
"186","ID-C26","R","Y3-V2",162,"Y3","Aidan",89.3125,16,38,1,"Aidan Y3",1,FALSE
"187","ID-C28","R","Y1-V1",177,"Y1","Ruger",182.5625,16,47,1,"Ruger Y1",2,FALSE
"188","ID-C28","R","Y1-V2",194,"Y1","Rory",168.9375,16,74,1,"Rory Y1",2,FALSE
"189","ID-C28","R","Y2-V1",151,"Y2","Rory",145.5,16,66,1,"Rory Y2",2,FALSE
"190","ID-C28","R","Y2-V2",171,"Y2","Anna",122.625,16,41,1,"Anna Y2",1,FALSE
"191","ID-C28","R","Y3-V1",142,"Y3","Rory",156.5625,16,40,1,"Rory Y3",2,FALSE
"192","ID-C28","R","Y3-V2",157,"Y3","Will",97.875,16,46,1,"Will Y3",2,FALSE
"193","UT-B01","B","Y1-V1",158,"Y1","Eliza",190.25,16,0,1,"Eliza Y1",1,FALSE
"194","UT-B01","B","Y1-V2",165,"Y1","Austin",132.5,16,0,1,"Austin Y1",1,FALSE
"195","UT-B01","B","Y2-V1",142,"Y2","Devin",118.75,16,1,1,"Devin Y2",1,FALSE
"196","UT-B01","B","Y2-V2",164,"Y2","Andrew",54.1875,16,7,1,"Andrew Y2",1,FALSE
"197","UT-B01","B","Y3-V1",129,"Y3","Will",124.5625,16,0,1,"Will Y3",2,FALSE
"198","UT-B01","B","Y3-V2",149,"Y3","Rory",120.5,16,12,1,"Rory Y3",2,FALSE
"199","UT-B02","B","Y1-V1",158,"Y1","Austin",106.6,10,0,1,"Austin Y1",1,FALSE
"200","UT-B02","B","Y1-V2",165,"Y1","Rory",157.4,10,0,1,"Rory Y1",2,FALSE
"201","UT-B02","B","Y2-V1",142,"Y2","Keramie",100,10,0,1,"Keramie Y2",1,FALSE
"202","UT-B02","B","Y2-V2",164,"Y2","Trey",109.7,10,0,1,"Trey Y2",2,FALSE
"203","UT-B02","B","Y3-V1",129,"Y3","Thomas",114,10,0,1,"Thomas Y3",1,FALSE
"204","UT-B02","B","Y3-V2",151,"Y3","Holden",59.2,10,0,1,"Holden Y3",1,FALSE
"205","UT-B05","B","Y1-V1",156,"Y1","Eliza",138,16,0,1,"Eliza Y1",1,FALSE
"206","UT-B05","B","Y1-V2",164,"Y1","Eoin",138,16,0,1,"Eoin Y1",1,FALSE
"207","UT-B05","B","Y2-V1",141,"Y2","Devin",112.6875,16,8,1,"Devin Y2",1,FALSE
"208","UT-B05","B","Y2-V2",158,"Y2","Trey",160.0625,16,0,1,"Trey Y2",2,FALSE
"209","UT-B05","B","Y3-V1",135,"Y3","Thomas",120.625,16,14,1,"Thomas Y3",1,FALSE
"210","UT-B05","B","Y3-V2",154,"Y3","Ben",122,16,4,1,"Ben Y3",1,FALSE
"211","UT-B06","B","Y1-V1",156,"Y1","Austin",146.875,16,0,1,"Austin Y1",1,FALSE
"212","UT-B06","B","Y1-V2",164,"Y1","Eliza",151.8125,16,0,1,"Eliza Y1",1,FALSE
"213","UT-B06","B","Y2-V1",141,"Y2","Anna",121.125,16,0,1,"Anna Y2",1,FALSE
"214","UT-B06","B","Y2-V2",155,"Y2","Keramie",198.166666666667,6,0,1,"Keramie Y2",1,FALSE
"215","UT-B06","B","Y3-V1",135,"Y3","Emily",121.25,16,8,1,"Emily Y3",1,FALSE
"216","UT-B06","B","Y3-V2",156,"Y3","Holden",101.875,16,0,1,"Holden Y3",1,FALSE
"217","UT-B08","B","Y1-V1",160,"Y1","Rory",220.166666666667,12,1,1,"Rory Y1",2,FALSE
"218","UT-B08","B","Y1-V2",167,"Y1","Eliza",230.8125,16,5,1,"Eliza Y1",1,FALSE
"219","UT-B08","B","Y2-V1",144,"Y2","Rory",180.5625,16,23,1,"Rory Y2",2,FALSE
"220","UT-B08","B","Y2-V2",164,"Y2","Will",125,16,30,1,"Will Y2",2,FALSE
"221","UT-B08","B","Y3-V1",140,"Y3","Rory",176.625,16,30,1,"Rory Y3",2,FALSE
"222","UT-B08","B","Y3-V2",151,"Y3","Will",117.5625,16,34,1,"Will Y3",2,FALSE
"223","UT-B15","B","Y1-V1",157,"Y1","Eoin",149.6875,16,39,1,"Eoin Y1",1,FALSE
"224","UT-B15","B","Y1-V2",163,"Y1","Rory",151,16,35,2,"Rory Y1",2,FALSE
"225","UT-B15","B","Y2-V1",144,"Y2","Keramie",161.6875,16,24,1,"Keramie Y2",1,FALSE
"226","UT-B15","B","Y2-V2",159,"Y2","Thea",169.2,15,36,1,"Thea Y2",2,FALSE
"227","UT-B15","B","Y3-V1",134,"Y3","Thomas",91.9375,16,55,1,"Thomas Y3",1,FALSE
"228","UT-B15","B","Y3-V2",151,"Y3","Aidan",124.625,16,32,1,"Aidan Y3",1,FALSE
"229","UT-B16","B","Y1-V1",157,"Y1","Rory",199.125,16,40,1,"Rory Y1",2,FALSE
"230","UT-B16","B","Y1-V2",163,"Y1","Eoin",312.6875,16,26,2,"Eoin Y1",1,FALSE
"231","UT-B16","B","Y2-V1",159,"Y2","Will",195.071428571429,14,23,1,"Will Y2",2,FALSE
"232","UT-B16","B","Y2-V2",176,"Y2","Trey",129.1,10,3,1,"Trey Y2",2,FALSE
"233","UT-B16","B","Y3-V1",134,"Y3","Rory",158.3125,16,68,1,"Rory Y3",2,FALSE
"234","UT-B16","B","Y3-V2",163,"Y3","Will",142.5625,16,34,1,"Will Y3",2,FALSE
"235","UT-B17","B","Y1-V1",159,"Y1","Eoin",122.181818181818,11,22,1,"Eoin Y1",1,FALSE
"236","UT-B17","B","Y1-V2",166,"Y1","Rory",150.727272727273,11,19,1,"Rory Y1",2,FALSE
"237","UT-B17","B","Y2-V1",152,"Y2","Rory",88,11,44,1,"Rory Y2",2,FALSE
"238","UT-B17","B","Y2-V2",162,"Y2","Thea",145.636363636364,11,14,1,"Thea Y2",2,FALSE
"239","UT-B17","B","Y3-V1",148,"Y3","Ben",86.9090909090909,11,26,1,"Ben Y3",1,FALSE
"240","UT-B17","B","Y3-V2",161,"Y3","Emily",111.181818181818,11,26,1,"Emily Y3",1,FALSE
"241","UT-B19","B","Y1-V1",159,"Y1","Austin",165.3125,16,12,1,"Austin Y1",1,FALSE
"242","UT-B19","B","Y1-V2",166,"Y1","Eoin",188.25,16,8,1,"Eoin Y1",1,FALSE
"243","UT-B19","B","Y2-V1",148,"Y2","Thea",190.875,16,15,1,"Thea Y2",2,FALSE
"244","UT-B19","B","Y2-V2",164,"Y2","Anna",107.0625,16,30,1,"Anna Y2",1,FALSE
"245","UT-B19","B","Y3-V1",137,"Y3","Thomas",162.375,16,23,1,"Thomas Y3",1,FALSE
"246","UT-B19","B","Y3-V2",161,"Y3","Holden",161.9375,16,6,1,"Holden Y3",1,FALSE
"247","UT-B22","B","Y1-V1",158,"Y1","Eoin",96.0833333333333,12,0,1,"Eoin Y1",1,FALSE
"248","UT-B22","B","Y1-V2",164,"Y1","Austin",320.833333333333,12,0,1,"Austin Y1",1,FALSE
"249","UT-B22","B","Y2-V1",145,"Y2","Devin",101.333333333333,12,3,1,"Devin Y2",1,FALSE
"250","UT-B22","B","Y2-V2",165,"Y2","Thea",117.5,12,0,1,"Thea Y2",2,FALSE
"251","UT-B22","B","Y3-V1",144,"Y3","Holden",94.6666666666667,12,1,1,"Holden Y3",1,FALSE
