"","Grid.ID","Grid.Type","Visit.ID","Ord.Date","Year","Observer.ID","Mean.MAS","n.Points","Count","n.Observers","Observer.Year","Observer.Experience","Imputed","Total.Indv"
"118","ID-C09","R","Y2-V2",176,"Y2","Rory",150.9375,16,1,2,"Rory Y2",2,FALSE,156
"119","ID-C09","R","Y3-V1",165,"Y3","Will",108.75,16,5,1,"Will Y3",2,FALSE,185
"120","ID-C09","R","Y3-V2",175,"Y3","Holden",170.375,16,6,1,"Holden Y3",1,FALSE,80
"121","ID-C11","R","Y1-V1",196,"Y1","Rory",211.25,16,3,1,"Rory Y1",2,TRUE,78
"122","ID-C11","R","Y1-V2",196,"Y1","Rory",211.25,16,3,1,"Rory Y1",2,FALSE,78
"123","ID-C11","R","Y2-V1",142,"Y2","Anna",116.875,16,27,1,"Anna Y2",1,FALSE,78
"124","ID-C11","R","Y2-V2",156,"Y2","Trey",146.461538461538,13,14,1,"Trey Y2",2,FALSE,57
"125","ID-C11","R","Y3-V1",140,"Y3","Holden",156.8125,16,24,1,"Holden Y3",1,FALSE,27
"126","ID-C11","R","Y3-V2",154,"Y3","Rory",150.375,16,32,1,"Rory Y3",2,FALSE,132
"127","ID-C12","R","Y1-V1",173,"Y1","Ruger",180.625,16,26,1,"Ruger Y1",2,FALSE,71
"128","ID-C12","R","Y1-V2",191,"Y1","Austin",107.4375,16,6,1,"Austin Y1",1,FALSE,54
"129","ID-C12","R","Y2-V1",151,"Y2","Devin",159.5625,16,36,1,"Devin Y2",1,FALSE,62
"130","ID-C12","R","Y2-V2",162,"Y2","Anna",102,16,41,1,"Anna Y2",1,FALSE,85
"131","ID-C12","R","Y3-V1",136,"Y3","Rory",133.0625,16,31,1,"Rory Y3",2,FALSE,180
"132","ID-C12","R","Y3-V2",156,"Y3","Thomas",111.625,16,40,1,"Thomas Y3",1,FALSE,96
"133","ID-C13","R","Y1-V1",180,"Y1","Rory",174.6875,16,0,1,"Rory Y1",2,FALSE,150
"134","ID-C13","R","Y1-V2",193,"Y1","Keramie",220.1875,16,0,1,"Keramie Y1",1,FALSE,45
"135","ID-C13","R","Y2-V1",157,"Y2","Devin",129,14,1,1,"Devin Y2",1,FALSE,100
"136","ID-C13","R","Y2-V2",170,"Y2","Keramie",211,11,0,1,"Keramie Y2",1,FALSE,75
"137","ID-C13","R","Y3-V1",150,"Y3","Rory",128.4375,16,2,1,"Rory Y3",2,FALSE,211
"138","ID-C13","R","Y3-V2",162,"Y3","Holden",84.3076923076923,13,3,1,"Holden Y3",1,FALSE,61
"139","ID-C15","R","Y1-V1",173,"Y1","Austin",224.3125,16,8,1,"Austin Y1",1,FALSE,43
"140","ID-C15","R","Y1-V2",191,"Y1","Rory",194.5625,16,29,1,"Rory Y1",2,FALSE,157
"141","ID-C15","R","Y2-V1",151,"Y2","Thea",176.25,16,49,1,"Thea Y2",2,FALSE,85
"142","ID-C15","R","Y2-V2",162,"Y2","Andrew",102.133333333333,15,22,1,"Andrew Y2",1,FALSE,76
"143","ID-C15","R","Y3-V1",136,"Y3","Thomas",102.25,16,36,1,"Thomas Y3",1,FALSE,88
"144","ID-C15","R","Y3-V2",156,"Y3","Will",99.875,16,41,1,"Will Y3",2,FALSE,138
"145","ID-C16","R","Y1-V1",172,"Y1","Keramie",160.0625,16,11,1,"Keramie Y1",1,FALSE,30
"146","ID-C16","R","Y1-V2",181,"Y1","Rory",139.1875,16,17,1,"Rory Y1",2,FALSE,72
"147","ID-C16","R","Y2-V1",158,"Y2","Andrew",98.9375,16,9,1,"Andrew Y2",1,FALSE,58
"148","ID-C16","R","Y2-V2",170,"Y2","Thea",164.75,16,31,1,"Thea Y2",2,FALSE,56
"149","ID-C16","R","Y3-V1",141,"Y3","Holden",168.3125,16,28,2,"Holden Y3",1,FALSE,38
"150","ID-C16","R","Y3-V2",162,"Y3","Emily",93.1875,16,55,1,"Emily Y3",1,FALSE,89
"151","ID-C19","R","Y1-V1",172,"Y1","Eliza",207.0625,16,16,1,"Eliza Y1",1,FALSE,82
"152","ID-C19","R","Y1-V2",180,"Y1","Austin",191.5625,16,1,1,"Austin Y1",1,FALSE,53
"153","ID-C19","R","Y2-V1",157,"Y2","Trey",154.9375,16,13,1,"Trey Y2",2,FALSE,63
"154","ID-C19","R","Y2-V2",170,"Y2","Anna",120.625,16,16,1,"Anna Y2",1,FALSE,91
"155","ID-C19","R","Y3-V1",150,"Y3","Ben",104.4375,16,37,1,"Ben Y3",1,FALSE,141
"156","ID-C19","R","Y3-V2",162,"Y3","Aidan",101.0625,16,24,1,"Aidan Y3",1,FALSE,108
"157","ID-C21","R","Y1-V1",179,"Y1","Ruger",129.9375,16,29,1,"Ruger Y1",2,FALSE,80
"158","ID-C21","R","Y1-V2",194,"Y1","Keramie",200.5625,16,16,1,"Keramie Y1",1,FALSE,58
"159","ID-C21","R","Y2-V1",150,"Y2","Andrew",108.5625,16,28,1,"Andrew Y2",1,FALSE,51
"160","ID-C21","R","Y2-V2",172,"Y2","Thea",123,16,48,1,"Thea Y2",2,FALSE,66
"161","ID-C21","R","Y3-V1",148,"Y3","Rory",163,16,47,1,"Rory Y3",2,FALSE,99
"162","ID-C21","R","Y3-V2",170,"Y3","Will",106.4375,16,17,1,"Will Y3",2,FALSE,107
"163","ID-C22","R","Y1-V1",187,"Y1","Rory",192.1875,16,12,1,"Rory Y1",2,TRUE,125
"164","ID-C22","R","Y1-V2",187,"Y1","Rory",192.1875,16,12,1,"Rory Y1",2,FALSE,125
"165","ID-C22","R","Y2-V1",158,"Y2","Devin",142.125,16,23,1,"Devin Y2",1,FALSE,73
"166","ID-C22","R","Y2-V2",171,"Y2","Rory",130.875,16,26,1,"Rory Y2",2,FALSE,77
"167","ID-C22","R","Y3-V1",137,"Y3","Rory",127.6875,16,21,1,"Rory Y3",2,FALSE,185
"168","ID-C22","R","Y3-V2",155,"Y3","Thomas",107.875,16,25,1,"Thomas Y3",1,FALSE,80
"169","ID-C23","R","Y1-V1",179,"Y1","Eoin",229.5625,16,0,1,"Eoin Y1",1,FALSE,37
"170","ID-C23","R","Y1-V2",193,"Y1","Ruger",222.1875,16,0,1,"Ruger Y1",2,FALSE,64
"171","ID-C23","R","Y2-V1",149,"Y2","Will",110.375,16,3,1,"Will Y2",2,FALSE,150
"172","ID-C23","R","Y2-V2",165,"Y2","Andrew",92.4666666666667,15,0,1,"Andrew Y2",1,FALSE,93
"173","ID-C23","R","Y3-V1",141,"Y3","Will",141.25,16,7,1,"Will Y3",2,FALSE,190
"174","ID-C23","R","Y3-V2",158,"Y3","Emily",144.875,16,6,1,"Emily Y3",1,FALSE,115
"175","ID-C24","R","Y1-V1",178,"Y1","Eoin",152.75,16,20,1,"Eoin Y1",1,FALSE,39
"176","ID-C24","R","Y1-V2",197,"Y1","Ruger",151,16,7,1,"Ruger Y1",2,FALSE,22
"177","ID-C24","R","Y2-V1",150,"Y2","Devin",140.5,16,32,1,"Devin Y2",1,FALSE,63
"178","ID-C24","R","Y2-V2",172,"Y2","Anna",128.6875,16,35,1,"Anna Y2",1,FALSE,66
"179","ID-C24","R","Y3-V1",143,"Y3","Holden",103.75,16,39,1,"Holden Y3",1,FALSE,34
"180","ID-C24","R","Y3-V2",155,"Y3","Emily",93.3125,16,54,1,"Emily Y3",1,FALSE,96
"181","ID-C26","R","Y1-V1",173,"Y1","Keramie",162.5,16,15,1,"Keramie Y1",1,FALSE,41
"182","ID-C26","R","Y1-V2",181,"Y1","Austin",135.5625,16,9,1,"Austin Y1",1,FALSE,34
"183","ID-C26","R","Y2-V1",157,"Y2","Will",124.375,16,23,1,"Will Y2",2,FALSE,108
"184","ID-C26","R","Y2-V2",170,"Y2","Rory",122.3125,16,22,1,"Rory Y2",2,FALSE,179
"185","ID-C26","R","Y3-V1",141,"Y3","Rory",110.0625,16,39,1,"Rory Y3",2,FALSE,108
"186","ID-C26","R","Y3-V2",162,"Y3","Aidan",89.3125,16,44,1,"Aidan Y3",1,FALSE,74
"187","ID-C28","R","Y1-V1",177,"Y1","Ruger",182.5625,16,1,1,"Ruger Y1",2,FALSE,108
"188","ID-C28","R","Y1-V2",194,"Y1","Rory",168.9375,16,0,1,"Rory Y1",2,FALSE,168
"189","ID-C28","R","Y2-V1",151,"Y2","Rory",145.5,16,13,1,"Rory Y2",2,FALSE,144
"190","ID-C28","R","Y2-V2",171,"Y2","Anna",122.625,16,7,1,"Anna Y2",1,FALSE,115
"191","ID-C28","R","Y3-V1",142,"Y3","Rory",156.5625,16,7,1,"Rory Y3",2,FALSE,148
"192","ID-C28","R","Y3-V2",157,"Y3","Will",97.875,16,7,1,"Will Y3",2,FALSE,154
"193","UT-B01","B","Y1-V1",158,"Y1","Eliza",190.25,16,35,1,"Eliza Y1",1,FALSE,35
"194","UT-B01","B","Y1-V2",165,"Y1","Austin",132.5,16,27,1,"Austin Y1",1,FALSE,18
"195","UT-B01","B","Y2-V1",142,"Y2","Devin",118.75,16,54,1,"Devin Y2",1,FALSE,38
"196","UT-B01","B","Y2-V2",164,"Y2","Andrew",54.1875,16,14,1,"Andrew Y2",1,FALSE,44
"197","UT-B01","B","Y3-V1",129,"Y3","Will",124.5625,16,64,1,"Will Y3",2,FALSE,28
"198","UT-B01","B","Y3-V2",149,"Y3","Rory",120.5,16,63,1,"Rory Y3",2,FALSE,88
"199","UT-B02","B","Y1-V1",158,"Y1","Austin",106.6,10,8,1,"Austin Y1",1,FALSE,49
"200","UT-B02","B","Y1-V2",165,"Y1","Rory",157.4,10,0,1,"Rory Y1",2,FALSE,47
"201","UT-B02","B","Y2-V1",142,"Y2","Keramie",100,10,2,1,"Keramie Y2",1,FALSE,48
"202","UT-B02","B","Y2-V2",164,"Y2","Trey",109.7,10,6,1,"Trey Y2",2,FALSE,27
"203","UT-B02","B","Y3-V1",129,"Y3","Thomas",114,10,14,1,"Thomas Y3",1,FALSE,28
"204","UT-B02","B","Y3-V2",151,"Y3","Holden",59.2,10,14,1,"Holden Y3",1,FALSE,17
"205","UT-B05","B","Y1-V1",156,"Y1","Eliza",138,16,17,1,"Eliza Y1",1,FALSE,47
"206","UT-B05","B","Y1-V2",164,"Y1","Eoin",138,16,8,1,"Eoin Y1",1,FALSE,35
"207","UT-B05","B","Y2-V1",141,"Y2","Devin",112.6875,16,18,1,"Devin Y2",1,FALSE,68
"208","UT-B05","B","Y2-V2",158,"Y2","Trey",160.0625,16,5,1,"Trey Y2",2,FALSE,52
"209","UT-B05","B","Y3-V1",135,"Y3","Thomas",120.625,16,31,1,"Thomas Y3",1,FALSE,88
"210","UT-B05","B","Y3-V2",154,"Y3","Ben",122,16,44,1,"Ben Y3",1,FALSE,137
"211","UT-B06","B","Y1-V1",156,"Y1","Austin",146.875,16,6,1,"Austin Y1",1,FALSE,61
"212","UT-B06","B","Y1-V2",164,"Y1","Eliza",151.8125,16,8,1,"Eliza Y1",1,FALSE,62
"213","UT-B06","B","Y2-V1",141,"Y2","Anna",121.125,16,13,1,"Anna Y2",1,FALSE,72
"214","UT-B06","B","Y2-V2",155,"Y2","Keramie",198.166666666667,6,1,1,"Keramie Y2",1,FALSE,24
"215","UT-B06","B","Y3-V1",135,"Y3","Emily",121.25,16,45,1,"Emily Y3",1,FALSE,92
"216","UT-B06","B","Y3-V2",156,"Y3","Holden",101.875,16,26,1,"Holden Y3",1,FALSE,36
"217","UT-B08","B","Y1-V1",160,"Y1","Rory",220.166666666667,12,0,1,"Rory Y1",2,FALSE,81
"218","UT-B08","B","Y1-V2",167,"Y1","Eliza",230.8125,16,0,1,"Eliza Y1",1,FALSE,55
"219","UT-B08","B","Y2-V1",144,"Y2","Rory",180.5625,16,0,1,"Rory Y2",2,FALSE,157
"220","UT-B08","B","Y2-V2",164,"Y2","Will",125,16,0,1,"Will Y2",2,FALSE,159
"221","UT-B08","B","Y3-V1",140,"Y3","Rory",176.625,16,1,1,"Rory Y3",2,FALSE,143
"222","UT-B08","B","Y3-V2",151,"Y3","Will",117.5625,16,1,1,"Will Y3",2,FALSE,145
"223","UT-B15","B","Y1-V1",157,"Y1","Eoin",149.6875,16,30,1,"Eoin Y1",1,FALSE,68
"224","UT-B15","B","Y1-V2",163,"Y1","Rory",151,16,14,2,"Rory Y1",2,FALSE,64
"225","UT-B15","B","Y2-V1",144,"Y2","Keramie",161.6875,16,8,1,"Keramie Y2",1,FALSE,85
"226","UT-B15","B","Y2-V2",159,"Y2","Thea",169.2,15,10,1,"Thea Y2",2,FALSE,92
"227","UT-B15","B","Y3-V1",134,"Y3","Thomas",91.9375,16,35,1,"Thomas Y3",1,FALSE,132
"228","UT-B15","B","Y3-V2",151,"Y3","Aidan",124.625,16,30,1,"Aidan Y3",1,FALSE,94
"229","UT-B16","B","Y1-V1",157,"Y1","Rory",199.125,16,10,1,"Rory Y1",2,FALSE,92
"230","UT-B16","B","Y1-V2",163,"Y1","Eoin",312.6875,16,10,2,"Eoin Y1",1,FALSE,56
"231","UT-B16","B","Y2-V1",159,"Y2","Will",195.071428571429,14,6,1,"Will Y2",2,FALSE,112
"232","UT-B16","B","Y2-V2",176,"Y2","Trey",129.1,10,1,1,"Trey Y2",2,FALSE,31
"233","UT-B16","B","Y3-V1",134,"Y3","Rory",158.3125,16,22,1,"Rory Y3",2,FALSE,213
"234","UT-B16","B","Y3-V2",163,"Y3","Will",142.5625,16,14,1,"Will Y3",2,FALSE,162
"235","UT-B17","B","Y1-V1",159,"Y1","Eoin",122.181818181818,11,5,1,"Eoin Y1",1,FALSE,45
"236","UT-B17","B","Y1-V2",166,"Y1","Rory",150.727272727273,11,0,1,"Rory Y1",2,FALSE,63
"237","UT-B17","B","Y2-V1",152,"Y2","Rory",88,11,10,1,"Rory Y2",2,FALSE,130
"238","UT-B17","B","Y2-V2",162,"Y2","Thea",145.636363636364,11,2,1,"Thea Y2",2,FALSE,74
"239","UT-B17","B","Y3-V1",148,"Y3","Ben",86.9090909090909,11,9,1,"Ben Y3",1,FALSE,82
"240","UT-B17","B","Y3-V2",161,"Y3","Emily",111.181818181818,11,8,1,"Emily Y3",1,FALSE,73
"241","UT-B19","B","Y1-V1",159,"Y1","Austin",165.3125,16,15,1,"Austin Y1",1,FALSE,57
"242","UT-B19","B","Y1-V2",166,"Y1","Eoin",188.25,16,8,1,"Eoin Y1",1,FALSE,20
